Type,Latitude,Longitude,Date,Time,Descriptions
Roadwork,1.314792795,103.8731583,22/2/2018,12:01:00 PM,Roadworks on Lorong 3 Geylang (towards Upper Boon Keng Road) after Geylang Square. Avoid left lane.
Roadwork,1.339414351,103.7782099,22/2/2018,12:00:00 PM,Roadworks on PIE (towards Changi Airport) after Bukit Timah Rd exit. Avoid lane 3.
Roadwork,1.343518708,103.8554837,22/2/2018,11:55:00 AM,Roadworks on Braddell Road (towards Bartley) after Toa Payoh. Avoid left lane.
Roadwork,1.353754677,103.8642534,22/2/2018,11:55:00 AM,Roadworks on Lorong Chuan (towards Ang Mo Kio Avenue 1). Avoid left lane.
Roadwork,1.338894046,103.9758019,22/2/2018,11:52:00 AM,Roadworks on PIE (towards Changi Airport) at ECP(Airport) Exit.
Roadwork,1.302081116,103.7707518,22/2/2018,11:51:00 AM,Roadworks on Clementi Road (towards Kent Vale Road) after AYE. Avoid right lane.
Accident,1.362842655,103.8490857,22/2/2018,11:46:00 AM,Accident on Ang Mo Kio Avenue 1 (towards Bishan Road) after Ang Mo Kio Street 32. Avoid left lane.
Roadwork,1.330953415,103.8622469,22/2/2018,11:43:00 AM,Roadworks on CTE (towards SLE) after PIE(Changi) Exit. Avoid lane 1.
Roadwork,1.387343928,103.7748116,22/2/2018,11:42:00 AM,Roadworks on BKE (towards Woodlands) before KJE Exit.
Vehicle breakdown,1.398051688,103.9013896,22/2/2018,11:41:00 AM,Vehicle breakdown on TPE (towards SLE) after Punggol Rd Exit.
Roadwork,1.365961754,103.9513822,22/2/2018,11:40:00 AM,Roadworks on TPE (towards SLE) after Tampines Ave 7 Exit.
Roadwork,1.312508587,103.9236084,22/2/2018,11:39:00 AM,Roadworks on Siglap Road (towards East Coast Road) after Burnfoot Terrace. Avoid left lane.
Vehicle breakdown,1.350597304,103.9611829,22/2/2018,11:38:00 AM,Vehicle breakdown on PIE (towards Changi Airport) before TPE.
Roadwork,1.377592461,103.8367708,22/2/2018,11:36:00 AM,Roadworks on Ang Mo Kio Avenue 5 (towards Ang Mo Kio Avenue 2) after Ang Mo Kio Avenue 4. Avoid left lane.
